abstract,term
"Background and aims: Many patients with coronavirus disease 2019 (COVID-19) have underlying cardiovascular (CV) disease or develop acute cardiac injury during the course of the illness. Adequate understanding of the interplay between COVID-19 and CV disease is required for optimum management of these patients. Methods: A literature search was done using PubMed and Google search engines to prepare a narrative review on this topic. Results: Respiratory illness is the dominant clinical manifestation of COVID-19; CV involvement occurs much less commonly. Acute cardiac injury, defined as significant elevation of cardiac troponins, is the most commonly reported cardiac abnormality in COVID-19. It occurs in approximately 8-12% of all patients. Direct myocardial injury due to viral involvement of cardiomyocytes and the effect of systemic inflammation appear to be the most common mechanisms responsible for cardiac injury. The information about other CV manifestations in COVID-19 is very limited at present. Nonetheless, it has been consistently shown that the presence of pre-existing CV disease and/or development of acute cardiac injury are associated with significantly worse outcome in these patients. Conclusions: Most of the current reports on COVID-19 have only briefly described CV manifestations in these patients. Given the enormous burden posed by this illness and the significant adverse prognostic impact of cardiac involvement, further research is required to understand the incidence, mechanisms, clinical presentation and outcomes of various CV manifestations in COVID-19 patients.",covid
"Introduction: Contradictory data have been reported on the incidence of stroke in patients with COVID-19 and the risk of SARS-CoV-2 infection among patients with history of stroke. Methods: This study systematically reviews case series reporting stroke as a complication of COVID-19, and analyses the prognosis of patients with COVID-19 and history of stroke. The pathophysiological mechanisms of stroke in patients with COVID-19 are also reviewed. Conclusions: History of stroke increases the risk of death due to COVID-19 by 3 times. Stroke currently seems not to be one of the main complications of COVID-19.",covid
"This article aims at collecting all information needed for dentists regarding the COVID-19 pandemic throughout the world by reviewing articles published by now. In late 2019, a pneumonia outbreak of uncertain etiology happened in Wuhan, China. There were many reports related to a live-animal and seafood market, supporting that the pathogens were transferred from animals to humans, rapidly evolving into transmission from human to human. The pathogen was classified as 2019 Novel Corona Virus (2019-nCoV), and the disease was named COrona VIrus Disease 2019 (COVID-19). Given that COVID-19 has lately been detected in infected patients' saliva, the COVID-19 outbreak is an alert that all dental and other health professionals must be vigilant in defending against the infectious disease spread, and it may enable to assess whether non-invasive saliva diagnostic for COVID-19. There has so far been no evidence from randomized controlled trials to prescribe any particular anti-nCoV treatment or vaccine, and COVID-19 management has been widely supportive. Since the ACE-2 was expressing on oral cavity mucosa, there is a potentially huge COVID-19 infectious vulnerability risk for oral cavity and brought up a proof for the future prevention procedure in dental practice and daily life. As a result, the whole dental teams should be vigilant and keep patients and themselves in a safe environment by following the guideline in this study.",covid
"OBJECTIVE. The objective of our study was to determine the misdiagnosis rate of radiologists for coronavirus disease 2019 (COVID-19) and evaluate the performance of chest CT in the diagnosis and management of COVID-19. The CT features of COVID-19 are reported and compared with the CT features of other viruses to familiarize radiologists with possible CT patterns. MATERIALS AND METHODS. This study included the first 51 patients with a diagnosis of COVID-19 infection confirmed by nucleic acid testing (23 women and 28 men; age range, 26-83 years) and two patients with adenovirus (one woman and one man; ages, 58 and 66 years). We reviewed the clinical information, CT images, and corresponding image reports of these 53 patients. The CT images included images from 99 chest CT examinations, including initial and follow-up CT studies. We compared the image reports of the initial CT study with the laboratory test results and identified CT patterns suggestive of viral infection. RESULTS. COVID-19 was misdiagnosed as a common infection at the initial CT study in two inpatients with underlying disease and COVID-19. Viral pneumonia was correctly diagnosed at the initial CT study in the remaining 49 patients with COVID-19 and two patients with adenovirus. These patients were isolated and obtained treatment. Ground-glass opacities (GGOs) and consolidation with or without vascular enlargement, interlobular septal thickening, and air bronchogram sign are common CT features of COVID-19. The The ""reversed halo"" sign and pulmonary nodules with a halo sign are uncommon CT features. The CT findings of COVID-19 overlap with the CT findings of adenovirus infection. There are differences as well as similarities in the CT features of COVID-19 compared with those of the severe acute respiratory syndrome. CONCLUSION. We found that chest CT had a low rate of missed diagnosis of COVID-19 (3.9%, 2/51) and may be useful as a standard method for the rapid diagnosis of COVID-19 to optimize the management of patients. However, CT is still limited for identifying specific viruses and distinguishing between viruses.",covid
"Background: Much of the focus regarding the global pandemic of coronavirus disease of 2019 (COVID-19) has been on the cardiovascular, pulmonary, and hematologic complications. However, neurologic complications have arisen as an increasingly recognized area of morbidity and mortality. Objective: This brief report summarizes the neurologic complications associated with COVID-19 with an emphasis on the emergency medicine clinician. Discussion: COVID-19 has infected over 3.5 million people and killed over 240,000 people worldwide. While pulmonary complications are profound, the neurologic system is also significantly impacted, with complications including acute cerebrovascular events, encephalitis, Guillain-Barré syndrome, acute necrotizing hemorrhagic encephalopathy, and hemophagocytic lymphohistiocytosis. Additionally, patients on immunosuppressive medications for pre-existing neurologic issues are at an increased risk for complications with COVID-19 infection, and many of the currently proposed COVID-19 therapies can interact with these medications. Conclusions: When caring for COVID-19 patients, emergency medicine clinicians should be aware of the neurologic complications from COVID-19.",covid
"The World Health Organization (WHO) has issued a warning that, although the 2019 novel coronavirus (COVID-19) from Wuhan City (China), is not pandemic, it should be contained to prevent the global spread. The COVID-19 virus was known earlier as 2019-nCoV. As of 12 February 2020, WHO reported 45,171 cases and 1115 deaths related to COVID-19. COVID-19 is similar to Severe Acute Respiratory Syndrome coronavirus (SARS-CoV) virus in its pathogenicity, clinical spectrum, and epidemiology. Comparison of the genome sequences of COVID-19, SARS-CoV, and Middle East Respiratory Syndrome coronavirus (MERS-CoV) showed that COVID-19 has a better sequence identity with SARS-CoV compared to MERS CoV. However, the amino acid sequence of COVID-19 differs from other coronaviruses specifically in the regions of 1ab polyprotein and surface glycoprotein or S-protein. Although several animals have been speculated to be a reservoir for COVID-19, no animal reservoir has been already confirmed. COVID-19 causes COVID-19 disease that has similar symptoms as SARS-CoV. Studies suggest that the human receptor for COVID-19 may be angiotensin-converting enzyme 2 (ACE2) receptor similar to that of SARS-CoV. The nucleocapsid (N) protein of COVID-19 has nearly 90% amino acid sequence identity with SARS-CoV. The N protein antibodies of SARS-CoV may cross react with COVID-19 but may not provide cross-immunity. In a similar fashion to SARS-CoV, the N protein of COVID-19 may play an important role in suppressing the RNA interference (RNAi) to overcome the host defense. This mini-review aims at investigating the most recent trend of COVID-19.",covid
"The coronavirus disease (COVID-19) has spread all around the world in a very short period of time. Recent data are showing significant prevalence of arterial hypertension and cardiovascular diseases (CVD) among patients with COVID-19, which raised many questions about higher susceptibility of patients with these comorbidities to the novel coronavirus, as well as the role of hypertension and CVD in progression and the prognosis of COVID-19 patients. There is a very limited amount of data, usually obtained from a small population, regarding the effect of the underlying disease on the outcome in patients with COVID-19. The evaluation of the treatment of these comorbidities at baseline and during COVID-19 is scarce and the results are conflicting. Hypertension and CVD, after the adjustment for other clinical and demographic parameters, primarily age, did not remain independent predictors of the lethal outcome in COVID-19 patients. Some investigations speculated about the association between the renin-angiotensin-aldosterone system (RAAS) and susceptibility to COVID-19, as well as the relationship between RAAS inhibitors and the adverse outcome in these patients. Withdrawing or switching RAAS inhibitors would have uncertain benefits, but it would definitely have many disadvantages such as uncontrolled hypertension, cardiac function deterioration and renal function impairment, which could potentially induce more complications in patients with COVID-19 than the infection of coronavirus itself. The aim of this review article was to summarize the prevalence of hypertension and CVD in patients with COVID-19, their influence on the outcome and the effect of treatment of hypertension and CVD in COVID-19 patients.",covid
"Objective: The novel severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), also called COVID-19, has caused a pandemic which has swiftly involved the entire world and raised great public health concerns. The scientific community is actively exploring treatments that would potentially be effective in combating COVID-19. Hydroxychloroquine has been demonstrated to limit the replication of SARS-CoV-2 virus in vitro. In malarial pandemic countries, chloroquine is widely used to treat malaria. In malarial non-pandemic nations, chloroquine is not widely used. Chloroquine and hydroxychloroquine share similar chemical structures and mechanisms of action. The aim of this study was to indirectly investigate the efficacy of chloroquine and hydroxychloroquine for the treatment of COVID-19 by determining the prevalence of COVID-19 in malaria pandemic and non-pandemic nations. We sought evidence to support or refute the hypothesis that these drugs could show efficacy in the treatment of COVID-19. Materials and methods: We reviewed in vitro studies, in vivo studies, original studies, clinical trials, and consensus reports, that were conducted to evaluate the antiviral activities of chloroquine and hydroxychloroquine. The studies on ""COVID-19 and its allied treatment were found from World Health Organization (WHO), ISI-Web of Science, PubMed, EMBASE, Scopus, Google Scholar, and clinical trial registries. The search was based on keywords: antiviral drugs, chloroquine, hydroxychloroquine, COVID-19, COVID-19 treatment modalities, and coronavirus. In addition, we analyzed the prevalence of COVID-19 in malaria pandemic and non-pandemic countries. The review and analyses were performed on March 28, 2020. Results: For this study, we identified a total of 09 published articles: 03 clinical trials with sample size 150; 03 in vitro studies and 03 expert consensus reports. These studies were all suggestive that chloroquine and hydroxychloroquine can successfully treat COVID-19 infections. We found that COVID-19 infections are highly pandemic in countries where malaria is least pandemic and are least pandemic in nations where malaria is highly pandemic. Conclusions: Chloroquine and hydroxychloroquine have antiviral characteristics in vitro. The findings support the hypothesis that these drugs have efficacy in the treatment of COVID-19. People are currently using these drugs for malaria. It is reasonable, given the hypothetical benefit of these two drugs, that they are now being tested in clinical trials to assess their effectiveness to combat this global health crisis.",covid
"COVID-19 has been declared a global pandemic by the World Health Organization and is responsible for hundreds of thousands of deaths worldwide. COVID-19 is caused by SARS-CoV-2, and common clinical symptoms include fever, cough, sore throat, headache, and fatigue. Myocardial injury is relatively common in patients with COVID-19, accounting for 7%-23% of cases, and is associated with a higher rate of morbidity and mortality. There is a discrepancy in the literature about myocarditis as the etiology of myocardial injury in patients with COVID-19; although many anecdotal reports of myocarditis have been noted, there are only a handful of case reports in the literature about myocarditis related to COVID-19. In this review we summarize the most up to date literature around the association between COVID-19 and myocarditis and provide clinicians a practical framework about the clinical manifestations, diagnostic tools, and treatment options currently available. Importantly, this review will heighten suspicion for myocarditis as an etiology of myocardial injury in COVID-19 patients, therefore improving clinical outcomes and encouraging shared clinical decision-making. This will also open the door for further research to build around this review. Emergent treatment options for COVID-19 are in clinical trials and might be of benefit to COVID-19 patients with myocarditis in addition to current guideline-based recommendations.",covid
"Background: Coronavirus disease 2019 (COVID-19) is a novel infectious disease with lack of established laboratory markers available to evaluate illness severity. In this study, we investigate whether platelet count could differentiate between COVID-19 patients with or without severe disease. Additionally, we evaluate if thrombocytopenia is associated with severe COVID-19. Methods: An electronic search in Medline, Scopus and Web of Science was performed to identify studies reporting data on platelet count in COVID-19 patients. A meta-analysis was performed, with calculation of weighted mean difference (WMD) of platelet number in COVID-19 patients with or without severe disease and odds ratio (OR) of thrombocytopenia for severe form of COVID-19. Results: Nine studies with 1779 COVID-19 patients, 399 (22.4%) with severe disease, were included in the meta-analysis. The pooled analysis revealed that platelet count was significantly lower in patients with more severe COVID-19 (WMD -31 × 109/L; 95% CI, from -35 to -29 × 109/L). A subgroup analysis comparing patients by survival, found an even lower platelet count was observed with mortality (WMD, -48 × 109/L; 95% CI, -57 to -39 × 109/L. In the four studies (n = 1427) which reported data on rate of thrombocytopenia, a low platelet count was associated with over fivefold enhanced risk of severe COVID-19 (OR, 5.1; 95% CI, 1.8-14.6). Conclusions: Low platelet count is associated with increased risk of severe disease and mortality in patients with COVID-19, and thus should serve as clinical indicator of worsening illness during hospitalization.",covid
